abandon	L01 U01	[əˈbændən][sound:abandon.mp3]<br />		<hr /><strong>构词</strong>　【根】a-[ad-, to]+ban[v.＆n.禁令]+-don[v.＆n.], to ban, 禁令下达后的结果→v.放弃；停止做某事；放弃（理智、责任）→v.＆n.放纵<br />	<hr />【<strong>考法 1</strong>】<br />v./n. <strong><ins>放纵：</ins></strong>carefree, freedom from <strong><ins>constraint</ins></strong><br /><strong>例</strong>　abandon oneself to emotion　感情用事<br /><strong>近</strong>　unconstraint, uninhibitedness, unrestraint<br /><hr />【<strong>考法 2</strong>】<br />v. <strong><ins>放弃：</ins></strong>to <strong><ins>withdraw</ins></strong> from often in the face of danger or encroachment<br /><strong>例</strong>　abandon the home　离家<br /><strong>反</strong>　salvage　救援<br />
seamy	L22 U08	[ˈsiːmi][sound:seamy.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>肮脏的，堕落的：</ins></strong><strong><ins>sordid</ins></strong>; <strong><ins>base</ins></strong><br /><strong>例</strong>　the seamy side of urban life　城市生活的肮脏面<br /><strong>近</strong>　sordid, base<br /><strong>反</strong>　decent and respectable　适当而值得尊敬的<br />
secluded	L22 U08	[sɪˈkluːdɪd]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>僻静的，隐蔽的：</ins></strong>screened or <strong><ins>hidden</ins></strong> from view<br /><strong>例</strong>　secluded monks　隐居的僧人<br /><strong>近</strong>　cloistered, covert, isolated, remote, retired, sheltered<br />
secrete	L22 U09	[sɪˈkriːt][sound:secrete.mp3]<br />		<hr /><strong>构词</strong>　【联】se-[away]+crete[联create], 参secret[n.秘密]→v.隐藏；create...away, 参excrete[排泄]→v.分泌<br />	<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>隐藏：</ins></strong>to <strong><ins>conceal</ins></strong> in a hiding place: cache<br /><strong>例</strong>　The police found the weapon secreted under the driver's seat of the getaway car．警方在逃逸车辆驾驶座下发现了隐藏的武器。<br /><strong>近</strong>　bury, cache, conceal, ensconce<br /><strong>反</strong>　divulge, display, exhibit　泄密，展示<br /><hr />【<strong>考法 2</strong>】<br />vt. <strong><ins>分泌：</ins></strong>to <strong><ins>generate</ins></strong> and separate (a substance) from cells or bodily fluids<br /><strong>反</strong>　absorb　吸收<br />
sedate	L22 U09	[sɪˈdeɪt][sound:sedate.mp3]<br />		<hr /><strong>构词</strong>　【根】sed[sit]+-ate[a.], 坐着的→a.淡定的，安静的<br /><strong>词根</strong>　<strong>sid, sed, sess</strong>　同源词根sid, sed, sess都表示sit[坐]。可以将它们看做sit的变形。president[主席]的字面含义“在前面[pre-]坐着[sid]的人[-ent]”, 引申出“一个团体中最重要的人”。<br /><strong>同根</strong>　assiduous, residue, subside, subsidiary, subsidy, supersede, sedate, sedentary, sedulous, obsess<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>淡定的，安静的：</ins></strong><strong><ins>free from</ins></strong> emotional or mental <strong><ins>agitation</ins></strong><br /><strong>例</strong>　She remained sedate under pressure．她在压力下仍保持镇静。<br /><strong>近</strong>　collected, composed, self-possessed, serene, tranquil, undisturbed, unperturbed, unruffled<br /><strong>反</strong>　agitated, discomposed, disturbed, flustered, perturbed, upset　不淡定的，狂乱的<br />
sedentary	L22 U09	[ˈsednteri][sound:sedentary.mp3]<br />		<hr /><strong>构词</strong>　【根】sed[sit]+-ent+-ary[a.], （始终）坐着的→a.固定不动的<br /><strong>词根</strong>　<strong>sid, sed, sess</strong>　同源词根sid, sed, sess都表示sit[坐]。可以将它们看做sit的变形。president[主席]的字面含义“在前面[pre-]坐着[sid]的人[-ent]”, 引申出“一个团体中最重要的人”。<br /><strong>同根</strong>　assiduous, residue, subside, subsidiary, subsidy, supersede, sedate, sedentary, sedulous, obsess<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>固定不动的：</ins></strong><strong><ins>not migratory</ins></strong>: settled<br /><strong>例</strong>　a sedentary lifestyle　很宅的生活方式<br /><strong>反</strong>　migratory, peripatetic　流动的，巡游的<br />
seduce	L22 U09	[sɪˈduːs][sound:seduce.mp3]<br />		<hr /><strong>构词</strong>　【根】se-[away]+duc[lead]+-e[v.], lead...away, 引导…远离（正道）→vt.劝说（使不忠，使不服从），诱…误入歧途<br /><strong>词根</strong>　<strong>duc (t)</strong>　词根duc (t）表示lead[引导]conductor[导体]就是“可以引导[duct]（电流）的物体[-or]”。produce[产生]字面含义“lead[duc]forth[pro-]”。<br /><strong>同根</strong>　conducive, inducement, irreducible, seduce, counterproductive, ductile<br />	<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>劝说（使不忠，使不服从），诱…误入歧途：</ins></strong>to attract or <strong><ins>persuade</ins></strong> to disobedience or disloyalty<br /><strong>例</strong>　The other firm seduced him with a better offer．另一家公司用更高的待遇想挖他墙脚。<br /><strong>近</strong>　allure, decoy, entice, solicit, tempt, lead on<br /><strong>反</strong>　repulse, ward off　厌恶，不被吸引<br />
sedulous	L22 U09	[ˈsedʒələs][sound:sedulous.mp3]<br />		<hr /><strong>构词</strong>　【根】sed[sit]+ul+-ous[a.], 坐下（学习）的→a.勤奋认真的<br />　　　【注】通过后缀区别sedentary[not migratory，固定不动的]和sedulous[assiduous, laborious, 勤奋认真的]<br /><strong>词根</strong>　<strong>sid, sed, sess</strong>　同源词根sid, sed, sess都表示sit[坐]。可以将它们看做sit的变形。president[主席]的字面含义“在前面[pre-]坐着[sid]的人[-ent]”, 引申出“一个团体中最重要的人”。<br /><strong>同根</strong>　assiduous, residue, subside, subsidiary, subsidy, supersede, sedate, sedentary, sedulous, obsess<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>勤奋认真的：</ins></strong>involving or accomplished with <strong><ins>careful perseverance</ins></strong><br /><strong>例</strong>　a sedulous student　一个勤奋的学生<br /><strong>近</strong>　assiduous, diligent, industrious, laborious, occupied, tied-up<br /><strong>反</strong>　idle, inactive, unbusy, unemployed, unoccupied　懒惰的<br />
seemly	L22 U09	[ˈsiːmli][sound:seemly.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />ad. <strong><ins>得体的，遵守礼节的：</ins></strong><strong><ins>following the established traditions</ins></strong> of refined society and good taste<br /><strong>例</strong>　a young lady of seemly appearance, robust health, and keen intelligence　一个打扮得体、身体健康、头脑敏锐的姑娘<br /><strong>近</strong>　befitting, decent, decorous, genteel, respectable<br /><strong>反</strong>　uncouth, ribald, indecorous, improper, inappropriate, indecent, indelicate, unbecoming, ungenteel, unseemly　粗俗的，不礼貌的<br />
segment	L22 U09	[ˈseɡmənt][sound:segment.mp3]<br />		<hr /><strong>构词</strong>　【根】seg[sect, cut]+-ment[n.], cut→vt./n.分割；部分<br /><strong>词根</strong>　<strong>sect</strong>　词根sect表示cut[切]。section[部分]就是“切分”出来的。<br /><strong>同根</strong>　dissect, segment<br />	<hr />【<strong>考法 1</strong>】<br />vt./n. <strong><ins>分割；部分：</ins></strong>to <strong><ins>separate</ins></strong> into segments<br /><strong>例</strong>　I think I lost one segment of this model kit．这套模型的一个零件我找不到了。<br /><strong>近</strong>　member, partition, portion, section<br />
self-abasement	L22 U09	[ˌselfəˈbeɪsmənt]<br />		<hr /><strong>构词</strong>　【参】abase[降低（地位、职位、威望或尊严）]→n.自卑，自谦<br /><strong>词根</strong>　<strong>base</strong>　base[底部，基础]作词根时也表示“底部”。basement[地下室]就是一栋楼里“最底部[base]、最下面的屋子[-ment]”。<br /><strong>同根</strong>　abase, debase, self-abasement, abysmal<br />	<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>自卑，自谦：</ins></strong>degradation or <strong><ins>humiliation</ins></strong> of oneself<br /><strong>反</strong>　self-asserting　自信<br />
self-absorbed	L22 U09	[ˌselfəbˈsɔːrbd][sound:self-absorbed.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>自恋的，自私的：</ins></strong><strong><ins>absorbed in one's own</ins></strong> thoughts, activities, or interests<br /><strong>例</strong>　the self-absorbed perspective of satisfying one's greed　满足某人贪欲的自私角度<br /><strong>近</strong>　narcissistic, self-centered, self-infatuated, self-obsessed, self-oriented, self-preoccupied<br /><strong>反</strong>　self-forgetting, selfless, unselfish　无私的<br />
seminal	L22 U09	[ˈsemɪnl][sound:seminal.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>创新的：</ins></strong>of, relating to, or having the power to originate; <strong><ins>creative</ins></strong><br /><strong>例</strong>　a seminal novel　新颖的小说<br /><strong>反</strong>　derivative　派生的<br />
sensation	L22 U10	[senˈseɪʃn][sound:sensation.mp3]<br />		<hr /><strong>构词</strong>　【根】sens[sense]+-ation[n.], sense→n.感觉，知觉；让所有人都感知→n.轰动事件<br /><strong>词根</strong>　<strong>sens, sent</strong>　词根sens和sent表示sense[感觉；观念]。<br /><strong>同根</strong>　commonsensical, consensus, dissension, insensible, insensitive, sensation, assent, consent, dissent, insentient, sentinel<br />	<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>轰动事件：</ins></strong>a state of <strong><ins>intense</ins></strong> public <strong><ins>interest</ins></strong> and excitement<br /><strong>例</strong>　the rookie hitting sensation of the American League　这个菜鸟的表现轰动了整个全美大联盟<br /><strong>近</strong>　flash, marvel, miracle, phenomenon, portent, prodigy, splendor<br /><strong>反</strong>　unnoticed event　不知名的小事<br />
septic	L22 U10	[ˈseptɪk][sound:septic.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>腐败的，感染的：</ins></strong>of, relating to, or causing <strong><ins>putrefaction</ins></strong><br /><strong>反</strong>　free of infection　未被感染的<br />
sepulchral	L22 U10	[səˈpʌlkrəl][sound:sepulchral.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>阴沉的；丧葬的：</ins></strong>causing or marked by an atmosphere <strong><ins>lacking in cheer</ins></strong>; funereal<br /><strong>例</strong>　The decrepit mansion had a sepulchral tone that gave everybody a chill．破旧的公馆有着一种坟墓的气息，让人皆为之一颤。<br /><strong>近</strong>　depressing, desolate, dismal, dreary, morose, sullen, tenebrous<br /><strong>反</strong>　merry, bright, cheery, comforting, cordial, festive, heartwarming, sunshiny　欢快的<br />
sequela	L22 U10	[siˈkwɪːlə][sound:sequela.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>结果：</ins></strong>a <strong><ins>secondary</ins></strong> consequence or <strong><ins>result</ins></strong><br /><strong>反</strong>　precursor　先兆<br />
sequester	L22 U10	[sɪˈkwestər][sound:sequester.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>使隔绝，分离：</ins></strong>to set apart: <strong><ins>segregate</ins></strong><br /><strong>例</strong>　sequester a jury　让陪审团分开讨论<br /><strong>近</strong>　insulate, seclude, segregate, separate, cut off<br /><strong>反</strong>　permit to mingle, desegregate, integrate, reintegrate　混合，综合<br />
sere	L22 U10	[sɪə][sound:sere.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>干枯的，凋萎的：</ins></strong>being <strong><ins>dried</ins></strong> and <strong><ins>withered</ins></strong><br /><strong>例</strong>　a sere region that can't support agriculture　一片贫瘠不能发展农业的地区<br /><strong>近</strong>　arid, droughty, thirsty, waterless<br /><strong>反</strong>　lush, damp, dank, humid, moist, wet　葱绿的，湿润的<br />
serendipity	L22 U10	[ˌserənˈdɪpəti][sound:serendipity.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>意外发现珍奇（或称心）事物的本领：</ins></strong>the faculty of making fortunate discoveries <strong><ins>by accident</ins></strong><br /><strong>例</strong>　They found each other by pure serendipity．他俩的相识属于缘分天注定。<br />
serene	L22 U10	[səˈriːn][sound:serene.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>安静的：</ins></strong><strong><ins>free from</ins></strong> disturbing noise or <strong><ins>uproar</ins></strong><br /><strong>例</strong>　a serene vacation spot　一处宁谧的度假胜地<br /><strong>近</strong>　arcadian, calm, hushed, peaceful, placid, restful, still, tranquil<br /><strong>反</strong>　boisterous, clamorous, clattery, deafening, raucous, roistering, romping, rowdy, tumultuous, unquiet, uproarious　喧闹的<br />
showmanship	L22 U10	[ˈʃoʊmənʃɪp]<br />			<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>擅于表演、展示的技巧：</ins></strong>the skill or ability of an individual who has a sense or knack for <strong><ins>dramatically effective presentation</ins></strong><br /><strong>例</strong>　Even among the staid, unemotional denominations of the 1830s and 1840s, the renewal of religious fervor and the necessity of competing with more charismatic clerics inevitably led to a greater cultivation of ministerial showmanship．即便在19世纪30、40年代那些缺乏感情色彩的、严肃古板的教派中，宗教热情的复兴以及与更有魅力的牧师竞争的必要性也不可避免地加强了对牧师表演技巧的培养。<br /><strong>近</strong>　grandstanding<br />
sift	L22 U10	[ˈsɪft][sound:sift.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />v. <strong><ins>审查：</ins></strong>to <strong><ins>examine</ins></strong> and sort carefully<br /><strong>例</strong>　sift the evidence　审查证据<br /><strong>近</strong>　audit, examine, oversee, review, survey<br />
self-defeating	L23 U01	[ˌselfdɪˈfiːtɪŋ][sound:self-defeating.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>适得其反的，自我拆台的：</ins></strong><strong><ins>causing more problems</ins></strong> than it solves<br /><strong>例</strong>　a self-defeating strategy　一个自我拆台的政策<br />
sermon	L23 U01	[ˈsзːrmən][sound:sermon.mp3]<br />		<hr /><strong>构词</strong>　【联】series (ofwords) on Monday（联想：“每周一国旗下的讲话”）→n.布道，说教<br />	<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>布道，说教：</ins></strong><strong><ins>public speech</ins></strong> usually by a member of the clergy for the purpose of giving <strong><ins>moral</ins></strong> guidance or uplift<br /><strong>例</strong>　preach a sermon　布道<br /><strong>近</strong>　homily<br />
serpentine	L23 U01	[ˈsзːrpəntiːn][sound:serpentine.mp3]<br />		<hr /><strong>构词</strong>　【记】来自serpent[蛇]，像蛇一样的（读音联想：“蛇盘的”）→a.弯曲的<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>弯曲的：</ins></strong><strong><ins>winding</ins></strong> or turning one way and another<br /><strong>例</strong>　The country inn lies at the end of a rather serpentine road．乡村小酒吧坐落在一条非常蜿蜒的道路的尽头。<br /><strong>近</strong>　curved, curvy, devious, sinuous, tortuous, twisted, winding<br /><strong>反</strong>　direct, straight, straightaway　直的<br />
serried	L23 U01	[ˈserid][sound:serried.mp3]<br />		<hr /><strong>构词</strong>　【联】series[系列]→a.密集的<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>密集的：</ins></strong>having <strong><ins>little space</ins></strong> between items or parts<br /><strong>例</strong>　Flowers came up every spring in their serried ranks．大量的鲜花在春季盛开（密集地开放）。<br /><strong>近</strong>　compact, dense<br /><strong>反</strong>　widely separated, airy, loose, open, uncrowded　稀疏的<br />
servile	L23 U01	[ˈsзːrvl][sound:servile.mp3]<br />		<hr /><strong>构词</strong>　【根】serv[serve, 服务，源自（被keep的）奴隶]+-ile[a.], （联）提供服务的，“客户是上帝”→a.低下的，卑屈的<br /><strong>词根</strong>　<strong>serv</strong>　词根serv表示keep。preserve[v.保存，保护]字面含义“keep[serv]（safe) beforehand[pre-]”。此外，词根serv也特指“被抓起来的的奴隶，或被收留的仆人[servant]”，他们为主人“服务[serve]”。<br /><strong>同根</strong>　conserve, conservatory, conservative, observant, preservative, reserved, servile, subservient<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>低下的，卑屈的：</ins></strong>meanly or cravenly <strong><ins>submissive</ins></strong>: <strong><ins>abject</ins></strong><br /><strong>例</strong>　He had always maintained a servile attitude around people with money．他对有钱人总是卑躬屈膝。<br /><strong>近</strong>　base, humble, menial, slavish<br />
shackle	L23 U01	[ˈʃækl][sound:shackle.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>束缚：</ins></strong>to deprive of freedom especially of action by means of <strong><ins>restrictions</ins></strong> or handicaps<br /><strong>例</strong>　unwilling to shackle the dogs to the wall of the house　不愿意把狗拴在墙边<br /><strong>近</strong>　chain, enchain, enfetter, fetter, gyve, handcuff, manacle, pinion, trammel<br /><strong>反</strong>　loose, emancipate, unbind, unfetter, unshackle　解放<br /><hr />【<strong>考法 2</strong>】<br />vt. <strong><ins>限制，阻碍：</ins></strong>to <strong><ins>create difficulty</ins></strong> for the work or activity of<br /><strong>例</strong>　shackled by poverty and ignorance　被贫穷和无知所阻碍<br /><strong>近</strong>　clog, cramp, encumber, fetter, hinder, impede, inhibit, interfere with, manacle, obstruct, short-circuit, stymie, tie up, trammel<br /><strong>反</strong>　aid, assist, facilitate, help　促进，帮助<br />
shadow	L23 U01	[ˈʃædoʊ][sound:shadow.mp3]<br />		<hr /><strong>构词</strong>　【记】shadow有“影子”的含义，影子产生的原因是光线受到遮盖→v.遮蔽，（使）变暗；“像别人的影子一样”→vt.偷偷尾随<br /><strong>词根</strong>　<strong>umbr</strong>　词根umbr表示shadow[影子，遮盖]，例如umbrella[伞]用做“遮盖（阳光、雨水）”。<br /><strong>同根</strong>　adumbrate, umbrage, shadow, overshadow<br />	<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>偷偷尾随：</ins></strong>to follow especially <strong><ins>secretly</ins></strong>: <strong><ins>trail</ins></strong><br /><strong>例</strong>　shadow the suspect to see what he was up to　尾随嫌犯行踪<br /><strong>近</strong>　chase, course, pursue, trace, track, trail<br /><hr />【<strong>考法 2</strong>】<br />v. <strong><ins>遮蔽，（使）变暗：</ins></strong>to(cause to)become <strong><ins>gloomy</ins></strong> or dark<br /><strong>派</strong>　shadowy adj．模糊的：faintly perceptible: indistinct<br />　　<strong>例</strong>　He had only a shadowy idea of what they wanted him to do．他对要做的事只有一个模糊的想法。<br />
sham	L23 U01	[ʃæm][sound:sham.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />v. <strong><ins>掩饰，假装：</ins></strong>to <strong><ins>present a false appearance</ins></strong> of<br /><strong>例</strong>　sham a most unconvincing limp just to get sympathy　非常拙劣地假装自己腿脚不便，以博得同情<br /><strong>近</strong>　act, affect, bluff, counterfeit, cloak, dissemble, fake, simulate, pretend, profess, put on, pass for<br /><hr />【<strong>考法 2</strong>】<br />a. <strong><ins>虚假的：</ins></strong>not genuine; <strong><ins>fake</ins></strong><br /><strong>例</strong>　street vendors selling sham designer handbags to gullible tourists　街头小贩向易上当的游客兜售山寨的设计师手包<br /><strong>近</strong>　bogus, forged, phony, spurious, unauthentic<br /><strong>反</strong>　genuine, authentic, bona fide, real, unfaked　真正的<br />
shifty	L23 U01	[ˈʃɪfti][sound:shifty.mp3]<br />		<hr /><strong>构词</strong>　【根】shift[变化]+-y[a.], （贬义）变化多端，言行不一的→a.（显得）狡诈的，（显得）欺诈的<br /><strong>词根</strong>　<strong>shift</strong>　单词shift表示“变化，移动”。电脑键盘上的shift键就是“切换”的含义。<br /><strong>同根</strong>　shiftless, shifty<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>（显得）狡诈的，（显得）欺诈的：</ins></strong>having, displaying, or suggestive of <strong><ins>deceitful character</ins></strong><br /><strong>例</strong>　shifty practices such as turning back the odometers on used cars　一些欺骗性的花招，比如把旧车的里程表调零<br />　　He had a shifty face so I won't trust him．他看起来贼眉鼠眼的，我不会相信他。<br /><strong>近</strong>　crooked, deceitful, deceptive, duplicitous, fraudulent, guileful, rogue, shady, sharp, underhanded<br /><strong>反</strong>　aboveboard, honest, straight　正派的，光明正大的<br />
stale	L23 U01	[steɪl][sound:stale.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>陈旧乏味的：</ins></strong>used or heard <strong><ins>so often as to be dull</ins></strong><br /><strong>例</strong>　The Government were sticking to stale ideas．政府仍在抱残守缺。<br /><strong>近</strong>　banal, cliché, commonplace, hackneyed, moth-eaten, musty, shopworn, stereotyped, threadbare, timeworn, trite<br /><strong>反</strong>　fresh, new, novel, original, unhackneyed　新的<br />
shiftless	L23 U02	[ˈʃɪftləs][sound:shiftless.mp3]<br />		<hr /><strong>构词</strong>　【根】shift[变化，移动]+-less[a.], 不去尝试变化，不移动的→a.胸无大志的，懒惰的<br /><strong>词根</strong>　<strong>shift</strong>　单词shift表示“变化，移动”。电脑键盘上的shift键就是“切换”的含义。<br /><strong>同根</strong>　shiftless, shifty<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>胸无大志的，懒惰的：</ins></strong><strong><ins>lacking</ins></strong> in <strong><ins>ambition</ins></strong> or incentive: lazy<br /><strong>例</strong>　shiftless spongers who never thought to do anything for themselves　无志气的弃民们，从来没有想过改变自己<br /><strong>近</strong>　idle, indolent, slothful<br /><strong>反</strong>　industrious　勤奋的<br />
shipshape	L23 U02	[ˈʃɪpʃeɪp][sound:shipshape.mp3]<br />		<hr /><strong>构词</strong>　【源】ship[船]+shape[形状，构造]，源自在风浪很大的海域中航行的船，为避免海浪的破坏内部设施全部在地面上固定（例如桌子、凳子无法挪动），所以船上的物品排布一直很整齐→a.井然有序的<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>井然有序的：</ins></strong>marked by meticulous <strong><ins>order</ins></strong> and neatness<br /><strong>例</strong>　I like to keep my car shipshape．我喜欢打理我的车。<br /><strong>近</strong>　antiseptic, kempt, orderly, prim, uncluttered, well-groomed<br /><strong>反</strong>　disheveled, disordered, disorderly, messy, sloven, unkempt, untidy　混乱的，不整洁的<br />
shirk	L23 U02	[ʃзːrk][sound:shirk.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />v. <strong><ins>逃避，规避：</ins></strong>to get or <strong><ins>keep away from</ins></strong> (as a responsibility) through cleverness or trickery<br /><strong>例</strong>　shirk one's duty　逃避责任<br /><strong>近</strong>　avoid, dodge, elude, eschew, evade, shun, weasel out of<br />
shoal	L23 U02	[ʃoʊl][sound:shoal.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>浅的：</ins></strong>having <strong><ins>little depth</ins></strong>: shallow<br /><strong>例</strong>　shoal waters of the bay　海湾附近的浅水区<br /><strong>反</strong>　deep　深的<br />
shopworn	L23 U02	[ˈʃɑːpwɔːrn][sound:shopworn.mp3]<br />		<hr /><strong>构词</strong>　【根】shop[商店]+worn[用旧的]，在商店中（作为展示品）用旧的→a.陈旧的<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>陈旧的：</ins></strong><strong><ins>worn-out</ins></strong>, as from overuse: trite<br /><strong>例</strong>　the shopworn suggestion to job applicants to“just be yourself”老掉牙的让应征者“做你自己”的提议<br /><strong>近</strong>　banal, cliché, commonplace, hackneyed, trite, well-worn<br /><strong>反</strong>　new, fresh, novel, original, unclichéd, unhackneyed　新的<br />
shred	L23 U02	[ʃred][sound:shred.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>少量：</ins></strong>a <strong><ins>small amount</ins></strong>; a particle<br /><strong>例</strong>　He struggled to retain a shred of his dignity．他勉强挽救了一点尊严。<br /><strong>近</strong>　crumb, driblet, mite, scintilla, spark, speck, sprinkling, tad<br />
shrewd	L23 U02	[ʃruːd][sound:shrewd.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>精明的，机敏的：</ins></strong>having or showing a practical <strong><ins>cleverness or judgment</ins></strong><br /><strong>例</strong>　He's shrewd about his investments．他对投资很精明。<br /><strong>近</strong>　crafty, cunning, devious, sly, subtle, wily, astute, savvy, sharp<br /><strong>反</strong>　foolish, naïve, unknowing　愚蠢的，幼稚的<br />
shrink	L23 U02	[ʃrɪŋk][sound:shrink.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />vi. <strong><ins>（在数量或价值方面）降低，减小：</ins></strong>to become <strong><ins>reduced</ins></strong> in amount or value: dwindle<br /><strong>例</strong>　His savings quickly shrank．他的存款急剧减少。<br /><strong>近</strong>　compress, condense, constrict<br /><strong>反</strong>　balloon, expand, snowball, swell　增大，膨胀<br />
shroud	L23 U02	[ʃraʊd][sound:shroud.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>将…从视线中隔离，遮蔽：</ins></strong>to <strong><ins>shut off from sight</ins></strong>; screen<br /><strong>例</strong>　She shrouded the fact that the child had been adopted．她将孩子是领养的这个事实隐藏起来。<br /><strong>近</strong>　belie, blanket, cloak, conceal, cover, curtain, disguise, mask, occult, screen, veil, blot out, paper over<br /><strong>反</strong>　bare, disclose, display, divulge, expose, reveal, show　展示，暴露<br />
shrug	L23 U02	[ʃrʌɡ][sound:shrug.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>轻视，忽略：</ins></strong>to <strong><ins>dismiss</ins></strong> as of little importance<br /><strong>例</strong>　The administration was willing to shrug off the problem．当局有意忽略这个问题。<br /><strong>近</strong>　bypass, disregard, gloss, ignore, neglect, minimize, overlook, overpass, slight, slur<br /><strong>反</strong>　attend, heed, mind　留心，注意<br />
self-perpetuating	L23 U03	[ˌselfpərˈpetʃueɪtɪŋ][sound:self-perpetuating.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>自续的，能使自身永久存在的：</ins></strong><strong><ins>continuing</ins></strong> or prevailing <strong><ins>without any external intervention</ins></strong><br /><strong>例</strong>　self-perpetuating economic declines　持续存在的经济衰退<br />
sensuality	L23 U03	[ˌsenʃuˈæləti][sound:sensuality.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>感官享乐：</ins></strong>excessive <strong><ins>pursuit of fleshly pleasures</ins></strong><br /><strong>例</strong>　the true sensuality of sushi　食用寿司的真正感官享受<br /><strong>近</strong>　carnality, debauchery, hedonism, voluptuousness<br /><strong>反</strong>　abstinence, asceticism, sobriety, temperance　克制<br />
shun	L23 U03	[ʃʌn][sound:shun.mp3]<br />		<hr /><strong>构词</strong>　【联】读音“闪”→v.避开，避免<br />	<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>避开，避免：</ins></strong>to avoid deliberately; <strong><ins>keep away</ins></strong> from<br /><strong>例</strong>　After his divorce he found himself being shunned by many of his former friends．自从他离婚以来，他发现许多曾经的朋友都刻意躲着他。<br /><strong>近</strong>　avoid, dodge, duck, elude, eschew, evade, finesse, scape, shirk<br /><strong>反</strong>　accept, embrace, welcome　接受，欢迎；pursue, seek　追寻<br />
sidestep	L23 U03	[ˈsaɪdstep][sound:sidestep.mp3]<br />		<hr /><strong>构词</strong>　【根】side[一边]+step[踏]，踏到另一边→v.（通过逃避而）不遵守<br />	<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>（通过逃避而）不遵守：</ins></strong>to <strong><ins>avoid having to comply with</ins></strong> (something) especially through cleverness<br /><strong>例</strong>　The eager enlistee sidestepped the regulations by lying about his age．急切的应募者通过谎报自己的年龄躲过了规定的限制。<br /><strong>近</strong>　beat, bypass, dodge, shortcut, skirt<br /><strong>反</strong>　comply, follow, keep, obey, observe　遵守<br />
